TEAM_ID,GAME_DATE,rolling_PTS_mean,rolling_PTS_std,rolling_eFG_PCT_mean,rolling_eFG_PCT_std,rolling_TS_PCT_mean,rolling_TS_PCT_std,rolling_AST_TOV_mean,rolling_AST_TOV_std,rolling_REB_mean,rolling_REB_std,rolling_PLUS_MINUS_mean,rolling_PLUS_MINUS_std
1610612742,2024-01-01,114.0,16.792855623746668,0.5515782246427408,0.0836870045248174,0.5816783899196054,0.0871359677135028,2.1971445192419017,0.45160231443720583,39.6,2.4083189157584592,-4.8,20.141995928904368
1610612742,2024-01-03,113.6,16.39512122553536,0.5408639389284551,0.07383360241511912,0.5734721349691543,0.07971608549397347,2.142599114283179,0.413913267955811,40.6,2.6076809620810595,-1.8,24.32488437793693
1610612742,2024-01-05,119.4,19.616319736382767,0.575238938928455,0.08858814378306953,0.5983302487886095,0.09043277220004366,2.134363997950721,0.41537975875537814,43.6,4.979959839195493,6.0,29.53811097548386
1610612742,2024-01-07,120.4,19.138965489283898,0.5771102839576947,0.08727735935988813,0.5972861506269276,0.09102611615579044,2.1355002575712314,0.41428552175397465,44.6,4.277849927241487,9.0,28.50438562747845
1610612742,2024-01-09,114.6,19.138965489283898,0.5463453172171183,0.08317710064999624,0.5718655446779876,0.08083945070008762,1.913278374854728,0.24844865582540807,42.6,6.8044103344816,3.6,30.737599125501003
1610612742,2024-01-11,122.2,13.700364958642528,0.5742656495729346,0.06766850775968594,0.6059452940510143,0.054614443987040004,2.1032780536051314,0.4057936763362281,42.0,7.106335201775948,11.8,21.18253997989854
1610612742,2024-01-13,118.6,14.774978849392646,0.5673260444625977,0.06903455735820153,0.6014070374806446,0.054366343727797375,2.032066026171597,0.39982194004211113,40.2,7.886697661252142,4.0,20.43281674170255
1610612742,2024-01-15,115.8,10.709808588392232,0.545892220933186,0.038217854559879985,0.5904314466665131,0.03838202400440881,2.056664802173416,0.40562114434184626,38.2,4.816637831516919,-2.2,10.663020210053057
1610612742,2024-01-17,114.8,11.031772296417289,0.5439720358551062,0.03934145773385094,0.5908424364155328,0.03790172132020761,2.039695204670974,0.4196258091206978,38.0,4.5276925690687095,-7.0,10.885770528538618
1610612742,2024-01-22,116.2,9.497368056467012,0.5482843315553827,0.03318045358096097,0.58775838415838,0.04254412976595153,2.186361669115667,0.3832279052606137,41.0,5.291502622129182,-5.4,9.555103348473
1610612742,2024-01-24,112.4,7.092249290598859,0.5402021047933807,0.02124835670480236,0.5737400584621127,0.03503827363288371,2.0035048111561253,0.2815000637379035,40.0,6.3639610306789285,-10.8,10.497618777608563
1610612742,2024-01-26,120.4,16.801785619391765,0.5740184606039976,0.07986834896175549,0.6041715702205103,0.08633487643124681,2.050940696675509,0.28318686753400385,40.6,5.770615218501405,-7.8,12.6964561984831
1610612742,2024-01-27,118.4,16.71227094083865,0.5651589167864707,0.08353247115238248,0.5882420857415078,0.08939882841782908,2.314576757006427,0.7169193940850517,40.8,5.84807660688538,-9.8,10.825894882179483
1610612742,2024-01-29,122.6,16.71227094083865,0.6042415732604314,0.1019602065859014,0.6260402053422036,0.10995168368967269,2.3279100814508777,0.7039087291175782,39.2,6.180614856144979,-6.0,10.999999999999996
